,date,Daily PnL($),Cumulative PnL($),equity,Daily PnL(%),Cumulative PnL(%)
126,2012-05-07,-22.5204991087344,-681.0730837789656,9318.926916221035,-0.24108147386000534,-6.810730837789658
127,2012-05-08,-22.5204991087344,-703.5935828877,9296.4064171123,-0.2416640811887416,-7.035935828877015
128,2012-05-09,-22.5204991087344,-726.1140819964344,9273.885918003565,-0.24224951124425242,-7.261140819964352
129,2012-05-10,-22.5204991087344,-748.6345811051688,9251.365418894831,-0.24283778459054384,-7.486345811051698
130,2012-05-11,-22.5204991087344,-771.1550802139031,9228.844919786097,-0.2434289219917618,-7.711550802139044
131,2012-05-12,0.0,-771.1550802139031,9228.844919786097,0.0,-7.711550802139044
132,2012-05-13,0.0,-771.1550802139031,9228.844919786097,0.0,-7.711550802139044
133,2012-05-14,-22.5204991087344,-793.6755793226375,9206.324420677363,-0.2440229444147568,-7.93675579322638
134,2012-05-15,-22.5204991087344,-816.1960784313719,9183.803921568628,-0.24461987303157073,-8.161960784313738
135,2012-05-16,-22.5204991087344,-838.7165775401063,9161.283422459894,-0.2452197292218239,-8.387165775401073
136,2012-05-17,-22.5204991087344,-861.2370766488407,9138.76292335116,-0.24582253457547942,-8.61237076648842
137,2012-05-18,-22.5204991087344,-883.7575757575751,9116.242424242424,-0.24642831089525252,-8.837575757575777
138,2012-05-19,0.0,-883.7575757575751,9116.242424242424,0.0,-8.837575757575777
139,2012-05-20,0.0,-883.7575757575751,9116.242424242424,0.0,-8.837575757575777
140,2012-05-21,26.30303030303028,-857.4545454545448,9142.545454545456,0.28852929835527785,-8.574545454545445
141,2012-05-22,26.30303030303028,-831.1515151515146,9168.848484848486,0.28769920186673126,-8.311515151515136
142,2012-05-23,26.30303030303028,-804.8484848484843,9195.151515151516,0.28687386803800674,-8.048484848484849
143,2012-05-24,26.30303030303028,-778.545454545454,9221.454545454546,0.2860532559978868,-7.7854545454545505
144,2012-05-25,26.30303030303028,-752.2424242424238,9247.757575757576,0.2852373253414253,-7.522424242424252
145,2012-05-26,0.0,-752.2424242424238,9247.757575757576,0.0,-7.522424242424252
146,2012-05-27,0.0,-752.2424242424238,9247.757575757576,0.0,-7.522424242424252
147,2012-05-28,0.0,-752.2424242424238,9247.757575757576,0.0,-7.522424242424252
148,2012-05-29,26.30303030303028,-725.9393939393935,9274.060606060606,0.28442603612341966,-7.259393939393943
149,2012-05-30,26.30303030303028,-699.6363636363633,9300.363636363636,0.2836193488517935,-6.996363636363645
150,2012-05-31,26.30303030303028,-673.333333333333,9326.666666666668,0.282817224481291,-6.733333333333336
151,2012-06-01,39.217316017316,-634.1160173160171,9365.883982683983,0.4204858758110941,-6.341160173160187
152,2012-06-02,0.0,-634.1160173160171,9365.883982683983,0.0,-6.341160173160187
153,2012-06-03,0.0,-634.1160173160171,9365.883982683983,0.0,-6.341160173160187
154,2012-06-04,39.217316017316,-594.8987012987011,9405.101298701298,0.41872519550554266,-5.948987012987028
155,2012-06-05,39.217316017316,-555.6813852813851,9444.318614718615,0.4169791985412452,-5.556813852813858
156,2012-06-06,39.217316017316,-516.4640692640692,9483.53593073593,0.41524770200145333,-5.16464069264071
157,2012-06-07,39.217316017316,-477.24675324675314,9522.753246753247,0.41353052599522044,-4.7724675324675285
158,2012-06-08,39.217316017316,-438.0294372294371,9561.970562770563,0.4118274935947408,-4.380294372294369
159,2012-06-09,0.0,-438.0294372294371,9561.970562770563,0.0,-4.380294372294369
160,2012-06-10,0.0,-438.0294372294371,9561.970562770563,0.0,-4.380294372294369
161,2012-06-11,39.217316017316,-398.8121212121211,9601.18787878788,0.41013843077502,-3.9881212121211984
162,2012-06-12,39.217316017316,-359.5948051948051,9640.405194805195,0.40846316635423374,-3.595948051948039
163,2012-06-13,39.217316017316,-320.37748917748905,9679.622510822512,0.40680153193612956,-3.2037748917748576
164,2012-06-14,39.217316017316,-281.16017316017303,9718.839826839827,0.40515336185338313,-2.8116017316017095
165,2012-06-15,39.217316017316,-241.94285714285704,9758.057142857144,0.40351849311286436,-2.419428571428539
166,2012-06-16,0.0,-241.94285714285704,9758.057142857144,0.0,-2.419428571428539
167,2012-06-17,0.0,-241.94285714285704,9758.057142857144,0.0,-2.419428571428539
168,2012-06-18,12.91428571428568,-229.02857142857135,9770.971428571429,0.13234484616375664,-2.290285714285678
169,2012-06-19,12.91428571428568,-216.11428571428567,9783.885714285714,0.13216992607840705,-2.161142857142828
170,2012-06-20,12.91428571428568,-203.2,9796.8,0.13199546776623272,-2.0319999999999783
171,2012-06-21,12.91428571428568,-190.2857142857143,9809.714285714286,0.1318214694010944,-1.9028571428571173
172,2012-06-22,12.91428571428568,-177.37142857142862,9822.628571428571,0.13164792916642298,-1.7737142857142563
173,2012-06-23,0.0,-177.37142857142862,9822.628571428571,0.0,-1.7737142857142563
174,2012-06-24,0.0,-177.37142857142862,9822.628571428571,0.0,-1.7737142857142563
175,2012-06-25,12.91428571428568,-164.45714285714294,9835.542857142857,0.13147484525526387,-1.6445714285714064
176,2012-06-26,12.91428571428568,-151.54285714285726,9848.457142857143,0.1313022158701438,-1.5154285714285454
177,2012-06-27,12.91428571428568,-138.62857142857158,9861.371428571429,0.13113003922295974,-1.3862857142856955
178,2012-06-28,12.91428571428568,-125.7142857142859,9874.285714285714,0.13095831353506782,-1.2571428571428345
179,2012-06-29,12.91428571428568,-112.80000000000021,9887.199999999999,0.13078703703703898,-1.1279999999999735
180,2012-06-30,0.0,-112.80000000000021,9887.199999999999,0.0,-1.1279999999999735
181,2012-07-01,0.0,-112.80000000000021,9887.199999999999,0.0,-1.1279999999999735
182,2012-07-02,26.20840336134452,-86.59159663865569,9913.408403361344,0.2650740691130471,-0.8659159663865212
183,2012-07-03,26.20840336134452,-60.383193277311165,9939.616806722688,0.26437328409125715,-0.603831932773069
184,2012-07-04,0.0,-60.383193277311165,9939.616806722688,0.0,-0.603831932773069
185,2012-07-05,26.20840336134452,-34.17478991596664,9965.825210084033,0.2636761946760213,-0.3417478991596279
